date,waterbody,site,depth,field_dups,lab_reps,variable,units,value,notes
2021-05-13,hamblin,1,int,NA,1,phyco,rfu,-0.0904000000000002,NA
2021-05-13,hamblin,1,int,NA,2,phyco,rfu,-0.23760000000000048,NA
2021-05-13,shubael,1,int,NA,1,phyco,rfu,0.3060000000000002,NA
2021-05-13,shubael,1,int,NA,2,phyco,rfu,0.9860000000000002,NA
2021-05-13,hamblin,1,int,NA,1,phyco,µg/L,-0.00681130593916422,NA
2021-05-13,hamblin,1,int,NA,2,phyco,µg/L,-0.01790228198169712,NA
2021-05-13,shubael,1,int,NA,1,phyco,µg/L,0.02305596921885233,NA
2021-05-13,shubael,1,int,NA,2,phyco,µg/L,0.07429145637185747,NA
2021-06-28,hamblin,1,int,NA,1,phyco,rfu,0.28879999999999995,NA
2021-06-28,hamblin,1,int,NA,2,phyco,rfu,0.4775999999999999,NA
2021-06-28,hamblin,2,int,NA,1,phyco,rfu,0.5344,NA
2021-06-28,hamblin,2,int,NA,2,phyco,rfu,1.1856,NA
2021-06-28,hamblin,3,int,NA,1,phyco,rfu,-0.04480000000000018,NA
2021-06-28,hamblin,3,int,NA,2,phyco,rfu,-0.3919999999999999,NA
2021-06-28,hamblin,4,int,NA,1,phyco,rfu,0.4368000000000001,NA
2021-06-28,hamblin,4,int,NA,2,phyco,rfu,-0.36079999999999984,NA
2021-06-28,hamblin,b,int,NA,1,phyco,rfu,0.58,NA
2021-06-28,hamblin,b,int,NA,2,phyco,rfu,0.05279999999999973,NA
2021-06-28,hamblin,b,int,NA,3,phyco,rfu,-0.10560000000000004,NA
2021-06-28,shubael,1,int,NA,1,phyco,rfu,1.3648000000000002,NA
2021-06-28,shubael,1,int,NA,2,phyco,rfu,1.9503999999999997,NA
2021-06-28,shubael,2,int,NA,1,phyco,rfu,1.8056000000000003,NA
2021-06-28,shubael,2,int,NA,2,phyco,rfu,1.7368000000000006,NA
2021-06-28,shubael,3,int,NA,1,phyco,rfu,2.7888,NA
2021-06-28,shubael,3,int,NA,2,phyco,rfu,2.6479999999999997,NA
2021-06-28,shubael,4,int,NA,1,phyco,rfu,3.8896000000000006,NA
2021-06-28,shubael,4,int,NA,2,phyco,rfu,2.6079999999999997,NA
2021-06-28,shubael,b,int,NA,1,phyco,rfu,1.2040000000000004,NA
2021-06-28,shubael,b,int,NA,2,phyco,rfu,2.7808000000000006,NA
2021-06-28,shubael,b,int,NA,3,phyco,rfu,2.2864,NA
2021-06-28,hamblin,1,int,NA,1,phyco,µg/L,0.02176001277909982,NA
2021-06-28,hamblin,1,int,NA,2,phyco,µg/L,0.03598539509452243,NA
2021-06-28,hamblin,2,int,NA,1,phyco,µg/L,0.0402650651978911,NA
2021-06-28,hamblin,2,int,NA,2,phyco,µg/L,0.0893305787773572,NA
2021-06-28,hamblin,3,int,NA,1,phyco,µg/L,-0.00337551444772741,NA
2021-06-28,hamblin,3,int,NA,2,phyco,µg/L,-0.02953575141761472,NA
2021-06-28,hamblin,4,int,NA,1,phyco,µg/L,0.03291126586534213,NA
2021-06-28,hamblin,4,int,NA,2,phyco,µg/L,-0.02718494671294742,NA
2021-06-28,hamblin,b,int,NA,1,phyco,µg/L,0.04370085668932792,NA
2021-06-28,hamblin,b,int,NA,2,phyco,µg/L,0.00397828488482155,NA
2021-06-28,hamblin,b,int,NA,3,phyco,µg/L,-0.00795656976964315,NA
2021-06-28,shubael,1,int,NA,1,phyco,µg/L,0.1028326365682668,NA
2021-06-28,shubael,1,int,NA,2,phyco,µg/L,0.14695543256356058,NA
2021-06-28,shubael,2,int,NA,1,phyco,µg/L,0.13604528765215604,NA
2021-06-28,shubael,2,int,NA,2,phyco,µg/L,0.13086146189314612,NA
2021-06-28,shubael,3,int,NA,1,phyco,µg/L,0.21012577437103047,NA
2021-06-28,shubael,3,int,NA,2,phyco,µg/L,0.1995170146781729,NA
2021-06-28,shubael,4,int,NA,1,phyco,µg/L,0.2930669865151894,NA
2021-06-28,shubael,4,int,NA,2,phyco,µg/L,0.19650316249270203,NA
2021-06-28,shubael,b,int,NA,1,phyco,µg/L,0.09071695078267385,NA
2021-06-28,shubael,b,int,NA,2,phyco,µg/L,0.20952300393393636,NA
2021-06-28,shubael,b,int,NA,3,phyco,µg/L,0.1722717909215161,NA
2021-07-14,hamblin,1,int,NA,1,phyco,rfu,0.08759999999999991,NA
2021-07-14,hamblin,1,int,NA,2,phyco,rfu,0.09879999999999996,NA
2021-07-14,hamblin,2,int,NA,1,phyco,rfu,-0.09399999999999978,NA
2021-07-14,hamblin,2,int,NA,2,phyco,rfu,-0.35399999999999976,NA
2021-07-14,hamblin,3,int,NA,1,phyco,rfu,1.0364,NA
2021-07-14,hamblin,3,int,NA,2,phyco,rfu,0.2875999999999999,NA
2021-07-14,hamblin,4,int,NA,1,phyco,rfu,0.7284000000000004,NA
2021-07-14,hamblin,4,int,NA,2,phyco,rfu,0.5852000000000009,NA
2021-07-14,hamblin,B,int,NA,1,phyco,rfu,0.46200000000000047,NA
2021-07-14,hamblin,B,int,NA,2,phyco,rfu,-0.01159999999999968,NA
2021-07-14,hamblin,B,int,NA,3,phyco,rfu,-0.3707999999999993,NA
2021-07-14,shubael,1,int,NA,1,phyco,rfu,1.7132000000000005,NA
2021-07-14,shubael,1,int,NA,2,phyco,rfu,1.0572000000000004,NA
2021-07-14,shubael,2,int,NA,1,phyco,rfu,0.3628000000000008,NA
2021-07-14,shubael,2,int,NA,2,phyco,rfu,0.6156000000000006,NA
2021-07-14,shubael,3,int,NA,1,phyco,rfu,3.7068000000000008,NA
2021-07-14,shubael,3,int,NA,2,phyco,rfu,3.7908,NA
2021-07-14,shubael,4,int,NA,1,phyco,rfu,4.453200000000001,NA
2021-07-14,shubael,4,int,NA,2,phyco,rfu,4.734000000000001,NA
2021-07-14,shubael,B,int,NA,1,phyco,rfu,3.9732000000000007,NA
2021-07-14,shubael,B,int,NA,2,phyco,rfu,5.086000000000001,NA
2021-07-14,shubael,B,int,NA,3,phyco,rfu,4.520400000000001,NA
2021-07-29,hamblin,1,int,NA,1,phyco,rfu,1.0315999999999996,NA
2021-07-29,hamblin,1,int,NA,2,phyco,rfu,1.2652,NA
2021-07-29,hamblin,2,int,NA,1,phyco,rfu,1.4572000000000005,NA
2021-07-29,hamblin,2,int,NA,2,phyco,rfu,1.4651999999999998,NA
2021-07-29,hamblin,3,int,NA,1,phyco,rfu,1.4548000000000003,NA
2021-07-29,hamblin,3,int,NA,2,phyco,rfu,1.6155999999999997,NA
2021-07-29,hamblin,4,int,NA,1,phyco,rfu,1.9003999999999996,NA
2021-07-29,hamblin,4,int,NA,2,phyco,rfu,1.6060000000000003,NA
2021-07-29,hamblin,B,int,NA,1,phyco,rfu,0.8812000000000001,NA
2021-07-29,hamblin,B,int,NA,2,phyco,rfu,0.7348000000000002,NA
2021-07-29,hamblin,B,int,NA,3,phyco,rfu,0.6372000000000003,NA
2021-07-29,shubael,1,int,NA,1,phyco,rfu,6.135200000000001,NA
2021-07-29,shubael,1,int,NA,2,phyco,rfu,10.177600000000002,NA
2021-07-29,shubael,2,int,NA,1,phyco,rfu,6.8464,NA
2021-07-29,shubael,2,int,NA,2,phyco,rfu,5.634399999999999,NA
2021-07-29,shubael,3,int,NA,1,phyco,rfu,8.7816,NA
2021-07-29,shubael,3,int,NA,2,phyco,rfu,10.9792,NA
2021-07-29,shubael,4,int,NA,1,phyco,rfu,8.136000000000001,NA
2021-07-29,shubael,4,int,NA,2,phyco,rfu,7.836799999999999,NA
2021-07-29,shubael,B,int,NA,1,phyco,rfu,7.0192,NA
2021-07-29,shubael,B,int,NA,2,phyco,rfu,9.824,NA
2021-07-29,shubael,B,int,NA,3,phyco,rfu,9.712,NA
2021-07-14,hamblin,1,int,NA,1,phyco,µg/L,0.00660033628618124,NA
2021-07-14,hamblin,1,int,NA,2,phyco,µg/L,0.00744421489811309,NA
2021-07-14,hamblin,2,int,NA,1,phyco,µg/L,-0.00708255263585657,NA
2021-07-14,hamblin,2,int,NA,2,phyco,µg/L,-0.02667259184141736,NA
2021-07-14,hamblin,3,int,NA,1,phyco,µg/L,0.07808891012555076,NA
2021-07-14,hamblin,3,int,NA,2,phyco,µg/L,0.0216695972135357,NA
2021-07-14,hamblin,4,int,NA,1,phyco,µg/L,0.05488224829742494,NA
2021-07-14,hamblin,4,int,NA,2,phyco,µg/L,0.0440926574734392,NA
2021-07-14,hamblin,B,int,NA,1,phyco,µg/L,0.03480999274218882,NA
2021-07-14,hamblin,B,int,NA,2,phyco,µg/L,-8.740171337865342e-4,NA
2021-07-14,hamblin,B,int,NA,3,phyco,µg/L,-0.0279384097593151,NA
2021-07-14,shubael,1,int,NA,1,phyco,µg/L,0.1290832891037183,NA
2021-07-14,shubael,1,int,NA,2,phyco,µg/L,0.07965611326199566,NA
2021-07-14,shubael,2,int,NA,1,phyco,µg/L,0.02733563932222104,NA
2021-07-14,shubael,2,int,NA,2,phyco,µg/L,0.04638318513439705,NA
2021-07-14,shubael,3,int,NA,1,phyco,µg/L,0.2792936820275875,NA
2021-07-14,shubael,3,int,NA,2,phyco,µg/L,0.28562277161707633,NA
2021-07-14,shubael,4,int,NA,1,phyco,µg/L,0.33553216380847434,NA
2021-07-14,shubael,4,int,NA,2,phyco,µg/L,0.35668940615047995,NA
2021-07-14,shubael,B,int,NA,1,phyco,µg/L,0.2993659375828236,NA
2021-07-14,shubael,B,int,NA,2,phyco,µg/L,0.3832113053826238,NA
2021-07-14,shubael,B,int,NA,3,phyco,µg/L,0.3405954354800654,NA
2021-07-29,hamblin,1,int,NA,1,phyco,µg/L,0.07772724786329424,NA
2021-07-29,hamblin,1,int,NA,2,phyco,µg/L,0.09532814462644426,NA
2021-07-29,hamblin,2,int,NA,1,phyco,µg/L,0.10979463511670456,NA
2021-07-29,hamblin,2,int,NA,2,phyco,µg/L,0.1103974055537987,NA
2021-07-29,hamblin,3,int,NA,1,phyco,µg/L,0.1096138039855763,NA
2021-07-29,hamblin,3,int,NA,2,phyco,µg/L,0.12172948977116922,NA
2021-07-29,hamblin,4,int,NA,1,phyco,µg/L,0.143188117331722,NA
2021-07-29,hamblin,4,int,NA,2,phyco,µg/L,0.12100616524665628,NA
2021-07-29,hamblin,B,int,NA,1,phyco,µg/L,0.06639516364592372,NA
2021-07-29,hamblin,B,int,NA,2,phyco,µg/L,0.05536446464710028,NA
2021-07-29,hamblin,B,int,NA,3,phyco,µg/L,0.04801066531455131,NA
2021-07-29,shubael,1,int,NA,1,phyco,µg/L,0.4622646482075253,NA
2021-07-29,shubael,1,int,NA,2,phyco,µg/L,0.7668445500712134,NA
2021-07-29,shubael,2,int,NA,1,phyco,µg/L,0.5158509400651976,NA
2021-07-29,shubael,2,int,NA,2,phyco,µg/L,0.4245312188454296,NA
2021-07-29,shubael,3,int,NA,1,phyco,µg/L,0.6616611087982792,NA
2021-07-29,shubael,3,int,NA,2,phyco,µg/L,0.8272421478680501,NA
2021-07-29,shubael,4,int,NA,1,phyco,µg/L,0.6130175345247791,NA
2021-07-29,shubael,4,int,NA,2,phyco,µg/L,0.5904739201774569,NA
2021-07-29,shubael,B,int,NA,1,phyco,µg/L,0.5288707815064319,NA
2021-07-29,shubael,B,int,NA,2,phyco,µg/L,0.7402020967516506,NA
2021-07-29,shubael,B,int,NA,3,phyco,µg/L,0.7317633106323322,NA
2021-08-11,hamblin,1,int,NA,1,phyco,rfu,0.3103999999999996,NA
2021-08-11,hamblin,1,int,NA,2,phyco,rfu,1.1408000000000005,NA
2021-08-11,hamblin,2,int,NA,1,phyco,rfu,0.17680000000000007,NA
2021-08-11,hamblin,2,int,NA,2,phyco,rfu,0.06400000000000035,NA
2021-08-11,hamblin,3,int,NA,1,phyco,rfu,1.7688,NA
2021-08-11,hamblin,3,int,NA,2,phyco,rfu,0.41039999999999965,NA
2021-08-11,hamblin,4,int,NA,1,phyco,rfu,0.5224000000000001,NA
2021-08-11,hamblin,4,int,NA,2,phyco,rfu,-0.04240000000000009,NA
2021-08-11,hamblin,B,int,NA,1,phyco,rfu,0.2503999999999996,NA
2021-08-11,hamblin,B,int,NA,2,phyco,rfu,0.02,NA
2021-08-11,hamblin,B,int,NA,3,phyco,rfu,0.25759999999999994,NA
2021-08-11,shubael,1,int,NA,1,phyco,rfu,7.3304,NA
2021-08-11,shubael,1,int,NA,2,phyco,rfu,18.628,NA
2021-08-11,shubael,2,int,NA,1,phyco,rfu,7.8656,NA
2021-08-11,shubael,2,int,NA,2,phyco,rfu,11.992,NA
2021-08-11,shubael,3,int,NA,1,phyco,rfu,12.0208,NA
2021-08-11,shubael,3,int,NA,2,phyco,rfu,12.6552,NA
2021-08-11,shubael,4,int,NA,1,phyco,rfu,12.312,NA
2021-08-11,shubael,4,int,NA,2,phyco,rfu,13.433600000000002,NA
2021-08-11,shubael,B,int,NA,1,phyco,rfu,10.392,NA
2021-08-11,shubael,B,int,NA,2,phyco,rfu,11.1688,NA
2021-08-11,shubael,B,int,NA,3,phyco,rfu,8.6624,NA
2021-08-31,hamblin,1,int,NA,1,phyco,rfu,0.5231999999999999,NA
2021-08-31,hamblin,1,int,NA,2,phyco,rfu,0.8032000000000005,NA
2021-08-31,hamblin,2,int,NA,1,phyco,rfu,0.6848000000000002,NA
2021-08-31,hamblin,2,int,NA,2,phyco,rfu,0.47120000000000006,NA
2021-08-31,hamblin,3,int,NA,1,phyco,rfu,0.20480000000000015,NA
2021-08-31,hamblin,3,int,NA,2,phyco,rfu,0.6672000000000002,NA
2021-08-31,hamblin,4,int,NA,1,phyco,rfu,1.0368000000000006,NA
2021-08-31,hamblin,4,int,NA,2,phyco,rfu,0.7216000000000002,NA
2021-08-31,hamblin,B,int,NA,1,phyco,rfu,0.7488,NA
2021-08-31,hamblin,B,int,NA,2,phyco,rfu,1.1880000000000006,NA
2021-08-31,hamblin,B,int,NA,3,phyco,rfu,1.2727999999999997,NA
2021-08-31,shubael,1,int,NA,1,phyco,rfu,4.9692,NA
2021-08-31,shubael,1,int,NA,2,phyco,rfu,5.0708,NA
2021-08-31,shubael,2,int,NA,1,phyco,rfu,4.3812,NA
2021-08-31,shubael,2,int,NA,2,phyco,rfu,5.6716,NA
2021-08-31,shubael,3,int,NA,1,phyco,rfu,6.552399999999999,NA
2021-08-31,shubael,3,int,NA,2,phyco,rfu,6.361999999999999,NA
2021-08-31,shubael,4,int,NA,1,phyco,rfu,6.712399999999999,NA
2021-08-31,shubael,4,int,NA,2,phyco,rfu,5.938000000000001,NA
2021-08-31,shubael,B,int,NA,1,phyco,rfu,5.4836,NA
2021-08-31,shubael,B,int,NA,2,phyco,rfu,6.412399999999999,NA
2021-08-31,shubael,B,int,NA,3,phyco,rfu,6.158000000000001,NA
2021-08-11,hamblin,1,int,NA,1,phyco,µg/L,0.02338749295925408,NA
2021-08-11,hamblin,1,int,NA,2,phyco,µg/L,0.085955064329629835,NA
2021-08-11,hamblin,2,int,NA,1,phyco,µg/L,0.01332122665978134,NA
2021-08-11,hamblin,2,int,NA,2,phyco,µg/L,0.00482216349675345,NA
2021-08-11,hamblin,3,int,NA,1,phyco,µg/L,0.13327254364152277,NA
2021-08-11,hamblin,3,int,NA,2,phyco,µg/L,0.03092212342293131,NA
2021-08-11,hamblin,4,int,NA,1,phyco,µg/L,0.03936090954224983,NA
2021-08-11,hamblin,4,int,NA,2,phyco,µg/L,-0.00319468331659915,NA
2021-08-11,hamblin,B,int,NA,1,phyco,µg/L,0.01886671468104775,NA
2021-08-11,hamblin,B,int,NA,2,phyco,µg/L,0.00150692609273544,NA
2021-08-11,hamblin,B,int,NA,3,phyco,µg/L,0.01940920807443253,NA
2021-08-11,shubael,1,int,NA,1,phyco,µg/L,0.5523185515093954,NA
2021-08-11,shubael,1,int,NA,2,phyco,µg/L,1.403550962773794,NA
2021-08-11,shubael,2,int,NA,1,phyco,µg/L,0.5926438937509959,NA
2021-08-11,shubael,2,int,NA,2,phyco,µg/L,0.9035528852041732,NA
2021-08-11,shubael,3,int,NA,1,phyco,µg/L,0.905722858777712,NA
2021-08-11,shubael,3,int,NA,2,phyco,µg/L,0.9535225544392804,NA
2021-08-11,shubael,4,int,NA,1,phyco,µg/L,0.9276637026879402,NA
2021-08-11,shubael,4,int,NA,2,phyco,µg/L,1.012172117968544,NA
2021-08-11,shubael,B,int,NA,1,phyco,µg/L,0.7829987977853374,NA
2021-08-11,shubael,B,int,NA,2,phyco,µg/L,0.8415278072271822,NA
2021-08-11,shubael,B,int,NA,3,phyco,µg/L,0.652679829285576,NA
2021-08-31,hamblin,1,int,NA,1,phyco,µg/L,0.03942118658595924,NA
2021-08-31,hamblin,1,int,NA,2,phyco,µg/L,0.06051815188425552,NA
2021-08-31,hamblin,2,int,NA,1,phyco,µg/L,0.05159714941526166,NA
2021-08-31,hamblin,2,int,NA,2,phyco,µg/L,0.03550317874484709,NA
2021-08-31,hamblin,3,int,NA,1,phyco,µg/L,0.01543092318961097,NA
2021-08-31,hamblin,3,int,NA,2,phyco,µg/L,0.05027105445365448,NA
2021-08-31,hamblin,4,int,NA,1,phyco,µg/L,0.07811904864740553,NA
2021-08-31,hamblin,4,int,NA,2,phyco,µg/L,0.05436989342589488,NA
2021-08-31,hamblin,B,int,NA,1,phyco,µg/L,0.05641931291201507,NA
2021-08-31,hamblin,B,int,NA,2,phyco,µg/L,0.08951140990848551,NA
2021-08-31,hamblin,B,int,NA,3,phyco,µg/L,0.09590077654168372,NA
