,value,units,waterbody,site,depth,reps,variable,day,month,year,filter_vol,fluorometer
SAMPLE-001,157.51,RFU,na,solid std,na,na,chla_rfu,25,8,2021,na,G04
SAMPLE-002,0.11,RFU,hamblin,blank,int,1,blank,13,5,2021,na,G04
SAMPLE-003,0.09,RFU,hamblin,blank,int,2,blank,13,5,2021,na,G04
SAMPLE-004,181.64,RFU,hamblin,1,int,1,chla_rfu,13,5,2021,250,G04
SAMPLE-005,188.7,RFU,hamblin,1,int,2,chla_rfu,13,5,2021,250,G04
SAMPLE-006,0,RFU,shubeal,blank,int,1,blank,13,5,2021,na,G04
SAMPLE-007,0.09,RFU,shubeal,blank,int,2,blank,13,5,2021,na,G04
SAMPLE-008,93.47,RFU,shubeal,1,int,1,chla_rfu,13,5,2021,250,G04
SAMPLE-009,52.66,RFU,shubeal,1,int,2,chla_rfu,13,5,2021,250,G04
SAMPLE-010,0.06,RFU,hamblin,blank,int,1,blank,28,6,2021,na,G04
SAMPLE-011,0.07,RFU,hamblin,blank,int,2,blank,28,6,2021,na,G04
SAMPLE-012,226.15,RFU,hamblin,1,int,1,chla_rfu,28,6,2021,250,G04
SAMPLE-013,235.1,RFU,hamblin,1,int,2,chla_rfu,28,6,2021,250,G04
SAMPLE-014,230.15,RFU,hamblin,2,int,1,chla_rfu,28,6,2021,250,G04
SAMPLE-015,233.6,RFU,hamblin,2,int,2,chla_rfu,28,6,2021,250,G04
SAMPLE-016,256.95,RFU,hamblin,3,int,1,chla_rfu,28,6,2021,250,G04
SAMPLE-017,240.23,RFU,hamblin,3,int,2,chla_rfu,28,6,2021,250,G04
SAMPLE-018,230.75,RFU,hamblin,4,int,1,chla_rfu,28,6,2021,250,G04
SAMPLE-019,226.71,RFU,hamblin,4,int,2,chla_rfu,28,6,2021,250,G04
SAMPLE-020,238.69,RFU,hamblin,b,int,1,chla_rfu,28,6,2021,250,G04
SAMPLE-021,223.02,RFU,hamblin,b,int,2,chla_rfu,28,6,2021,250,G04
SAMPLE-022,220.89,RFU,hamblin,b,int,3,chla_rfu,28,6,2021,250,G04
SAMPLE-023,0.1,RFU,shubeal,blank,int,1,blank,28,6,2021,na,G04
SAMPLE-024,0.9,RFU,shubeal,blank,int,2,blank,28,6,2021,na,G04
SAMPLE-025,287.54,RFU,shubeal,1,int,1,chla_rfu,28,6,2021,250,G04
SAMPLE-026,278.5,RFU,shubeal,1,int,2,chla_rfu,28,6,2021,250,G04
SAMPLE-027,295.28,RFU,shubeal,2,int,1,chla_rfu,28,6,2021,250,G04
SAMPLE-028,292.12,RFU,shubeal,2,int,2,chla_rfu,28,6,2021,250,G04
SAMPLE-029,273.64,RFU,shubeal,3,int,1,chla_rfu,28,6,2021,250,G04
SAMPLE-030,257.97,RFU,shubeal,3,int,2,chla_rfu,28,6,2021,250,G04
SAMPLE-031,254.2,RFU,shubeal,4,int,1,chla_rfu,28,6,2021,250,G04
SAMPLE-032,258.68,RFU,shubeal,4,int,2,chla_rfu,28,6,2021,250,G04
SAMPLE-033,264.11,RFU,shubeal,b,int,1,chla_rfu,28,6,2021,250,G04
SAMPLE-034,302.11,RFU,shubeal,b,int,2,chla_rfu,28,6,2021,250,G04
SAMPLE-035,263.28,RFU,shubeal,b,int,3,chla_rfu,28,6,2021,250,G04
SAMPLE-036,0.16,RFU,hamblin,blank,int,1,blank,14,7,2021,na,G04
SAMPLE-037,0.28,RFU,hamblin,blank,int,2,blank,14,7,2021,na,G04
SAMPLE-038,191.59,RFU,hamblin,1,int,1,chla_rfu,14,7,2021,250,G04
SAMPLE-039,197.8,RFU,hamblin,1,int,2,chla_rfu,14,7,2021,250,G04
SAMPLE-040,213.22,RFU,hamblin,2,int,1,chla_rfu,14,7,2021,250,G04
SAMPLE-041,201.85,RFU,hamblin,2,int,2,chla_rfu,14,7,2021,250,G04
SAMPLE-042,226.32,RFU,hamblin,3,int,1,chla_rfu,14,7,2021,250,G04
SAMPLE-043,205.19,RFU,hamblin,3,int,2,chla_rfu,14,7,2021,250,G04
SAMPLE-044,178.76,RFU,hamblin,4,int,1,chla_rfu,14,7,2021,250,G04
SAMPLE-045,172.06,RFU,hamblin,4,int,2,chla_rfu,14,7,2021,250,G04
SAMPLE-046,215.81,RFU,hamblin,b,int,1,chla_rfu,14,7,2021,250,G04
SAMPLE-047,215.81,RFU,hamblin,b,int,2,chla_rfu,14,7,2021,250,G04
SAMPLE-048,223.39,RFU,hamblin,b,int,3,chla_rfu,14,7,2021,250,G04
SAMPLE-049,0.18,RFU,shubeal,blank,int,1,blank,14,7,2021,na,G04
SAMPLE-050,0.08,RFU,shubeal,blank,int,2,blank,14,7,2021,na,G04
SAMPLE-051,495.62,RFU,shubeal,1,int,1,chla_rfu,14,7,2021,250,G04
SAMPLE-052,484.82,RFU,shubeal,1,int,2,chla_rfu,14,7,2021,250,G04
SAMPLE-053,189.48,RFU,shubeal,2,int,1,chla_rfu,14,7,2021,250,G04
SAMPLE-054,181.11,RFU,shubeal,2,int,2,chla_rfu,14,7,2021,250,G04
SAMPLE-055,363.41,RFU,shubeal,3,int,1,chla_rfu,14,7,2021,250,G04
SAMPLE-056,387.86,RFU,shubeal,3,int,2,chla_rfu,14,7,2021,250,G04
SAMPLE-057,391.87,RFU,shubeal,4,int,1,chla_rfu,14,7,2021,250,G04
SAMPLE-058,380.63,RFU,shubeal,4,int,2,chla_rfu,14,7,2021,250,G04
SAMPLE-059,500.53,RFU,shubeal,b,int,1,chla_rfu,14,7,2021,250,G04
SAMPLE-060,464.94,RFU,shubeal,b,int,2,chla_rfu,14,7,2021,250,G04
SAMPLE-061,473.22,RFU,shubeal,b,int,3,chla_rfu,14,7,2021,250,G04
SAMPLE-079,156.83,RFU,na,solid std,na,na,chla_rfu,25,8,2021,na,G04
